,t,q_d,dq_d,i_d,q,dq,i
1575,7.870927872998436,3.8452164813627823,0,5.99660925807227,3.2455555555555553,0.0,12
1576,7.878623109998443,3.8217083738286863,0,20.20158091789505,3.2279166666666663,-3.565915961568713,18
1577,7.880872049998288,3.814843285090224,0,5.8692661842355776,3.2279166666666663,0.0,21
1578,7.887121355997806,3.795779191268709,0,19.848207399430905,3.210277777777778,-3.498298316130399,21
1579,7.891036630997405,3.7838447191055753,0,19.984172769651586,3.192638888888889,-3.5180286168711805,19
1580,7.897418861997721,3.764406324645952,0,5.717674357570632,3.192638888888889,0.0,19
1581,7.90086564199737,3.7539166916101245,0,19.893056837232955,3.175,-3.5259724802829266,14
1582,7.907401057000243,3.7340434597994037,0,5.590434597994038,3.175,0.0,15
1583,7.911031297997397,3.7230136335054365,0,19.742686919963905,3.157361111111111,-3.521540424005162,16
1584,7.917400991998875,3.7036765686930124,0,5.463154575819016,3.157361111111111,0.0,10
1585,7.920857957000408,3.693190615414777,0,19.638627423895354,3.1397222222222223,-3.525985872992452,11
1586,7.9258684429987625,3.6780033503627028,0,19.739411445971115,3.1220833333333333,-3.545052818919355,10
1587,7.9308532619979815,3.6629068860500937,0,19.622466419289033,3.1044444444444443,-3.509460500808135,19
1588,7.935856396998133,3.6477681410684686,0,5.433236966240242,3.1044444444444443,0.0,3
1589,7.941019139998389,3.6321604565628167,0,5.277160121183724,3.1044444444444443,0.0,3
1590,7.946033607997379,3.6170148053570874,0,19.48774352555434,3.0868055555555554,-3.5464127568847545,20
1591,7.950847817999602,3.602486926768797,0,5.156813712132418,3.0868055555555554,0.0,19
1592,7.955971043000318,3.587040578756635,0,5.002350232010797,3.0868055555555554,0.0,13
1593,7.961013528998592,3.571851952140756,0,19.130066164956048,3.0691666666666664,-3.5258033275537874,19
1594,7.96600936699906,3.5568179724106415,0,4.876513057439751,3.0691666666666664,0.0,0
1595,7.970846317999531,3.542275678715308,0,18.94387437989458,3.051527777777778,-3.5090988426298195,18
1596,7.975965562000056,3.526899339671279,0,4.7537156189350105,3.051527777777778,0.0,14
1597,7.981004065997695,3.5117803952715,0,18.88248921964781,3.033888888888889,-3.5258935389554247,14
1598,7.9860020149972115,3.4967978787143252,0,4.629089898254364,3.033888888888889,0.0,14
1599,7.990999074998399,3.4818328470022264,0,18.67853483219151,3.01625,-3.5056765905423113,14
1600,7.996001523999439,3.466866666842726,0,4.5061666684272605,3.01625,0.0,11
1601,8.000960936999036,3.452044191451164,0,18.68294706589672,2.998611111111111,-3.5371540656240463,18
1602,8.005837720000272,3.4374833333016035,0,4.388722221904926,2.998611111111111,0.0,10
1603,8.012372616998618,3.4179947852044426,0,18.321303922575915,2.980972222222222,-3.487769573188427,9
1604,8.015997671998775,3.4071955274861163,0,4.262233052638944,2.980972222222222,0.0,4
1605,8.022323811997921,3.388369400522863,0,18.536329177124664,2.9633333333333334,-3.571492126307342,9
1606,8.025823682997725,3.377964963208866,0,18.424661313003977,2.9456944444444444,-3.5254890313399403,15
1607,8.030947445997299,3.3627471712862897,0,4.170527268418454,2.9456944444444444,0.0,3
1608,8.035948302000179,3.3479107803024823,0,18.379980559440234,2.9280555555555554,-3.545357077992741,8
1609,8.042361032999906,3.3289095693484185,0,18.180589931046928,2.910416666666667,-3.498915226057353,0
1610,8.045981682000274,3.318193386355981,0,4.077767196893141,2.910416666666667,0.0,17
1611,8.052312820997031,3.2994758049273294,0,3.890591382606625,2.910416666666667,0.0,17
1612,8.055937746998097,3.2887710533186754,0,18.10897178190652,2.8927777777777774,-3.5372597566243846,10
1613,8.062357495997276,3.2698347399854724,0,3.770569622076949,2.8927777777777774,0.0,8
1614,8.065974569999526,3.2591778470398762,0,17.945376314113503,2.875138888888889,-3.526246683150908,23
1615,8.072307635997277,3.2405405827046896,0,3.6540169381580068,2.875138888888889,0.0,18
1616,8.075930561997666,3.229891362559998,0,17.881521157652298,2.8575,-3.53940188301308,16
